;Produced by Yue Chen, @LANL, on Oct 23, 2023
;======> All Rights Reserved; Please do not redistribute without author"permission <=====       
;
;Data used as inputs for forecasting models: Low L boudary of >2MeV electrons determined by low Earth orbit satellite POES-15 P6 between 20130220 and 20180630
;Columns: S/N, Time (in days, counted from 20130220 00:00:00), L-bound value
;P6 threshold value = 3.00

;format (I5, 3x, f10.4, f10.2)

  S/N         Time    Lbound
    1       0.1875       NaN
    2       0.3958       NaN
    3       0.6042       NaN
    4       0.8125       NaN
    5       1.0208       NaN
    6       1.2292       NaN
    7       1.4375       NaN
    8       1.6458       NaN
    9       1.8542       NaN
   10       2.0625       NaN
   11       2.2708       NaN
   12       2.4792       NaN
   13       2.6875       NaN
   14       2.8958       NaN
   15       3.1042       NaN
   16       3.3125       NaN
   17       3.5208       NaN
   18       3.7292       NaN
   19       3.9375       NaN
   20       4.1458       NaN
   21       4.3542       NaN
   22       4.5625       NaN
   23       4.7708       NaN
   24       4.9792       NaN
   25       5.1875       NaN
   26       5.3958       NaN
   27       5.6042       NaN
   28       5.8125       NaN
   29       6.0208       NaN
   30       6.2292       NaN
   31       6.4375       NaN
   32       6.6458       NaN
   33       6.8542       NaN
   34       7.0625       NaN
   35       7.2708       NaN
   36       7.4792       NaN
   37       7.6875       NaN
   38       7.8958       NaN
   39       8.1042       NaN
   40       8.3125       NaN
   41       8.5208       NaN
   42       8.7292       NaN
   43       8.9375       NaN
   44       9.1458       NaN
   45       9.3542       NaN
   46       9.5625       NaN
   47       9.7708       NaN
   48       9.9792       NaN
   49      10.1875      3.70
   50      10.3958      3.70
   51      10.6042      3.60
   52      10.8125      3.60
   53      11.0208      3.60
   54      11.2292      3.60
   55      11.4375      3.60
   56      11.6458      3.60
   57      11.8542      3.60
   58      12.0625      3.60
   59      12.2708      3.60
   60      12.4792      3.60
   61      12.6875      3.60
   62      12.8958      3.60
   63      13.1042      3.60
   64      13.3125      3.60
   65      13.5208      3.60
   66      13.7292      3.60
   67      13.9375      3.60
   68      14.1458      3.60
   69      14.3542      3.60
   70      14.5625      3.70
   71      14.7708      3.70
   72      14.9792      3.70
   73      15.1875      3.70
   74      15.3958      3.70
   75      15.6042      3.70
   76      15.8125      3.70
   77      16.0208      3.70
   78      16.2292      3.70
   79      16.4375      3.70
   80      16.6458      3.70
   81      16.8542      3.70
   82      17.0625      3.70
   83      17.2708      3.70
   84      17.4792      3.70
   85      17.6875      3.60
   86      17.8958      3.60
   87      18.1042      3.70
   88      18.3125      3.70
   89      18.5208      3.70
   90      18.7292      3.70
   91      18.9375      3.70
   92      19.1458      3.60
   93      19.3542      3.60
   94      19.5625      3.60
   95      19.7708      3.60
   96      19.9792      3.60
   97      20.1875      3.60
   98      20.3958      3.60
   99      20.6042      3.60
  100      20.8125      3.60
  101      21.0208      3.60
  102      21.2292      3.60
  103      21.4375      3.60
  104      21.6458      3.60
  105      21.8542      3.60
